id,text,label,cot
ed2jmoc__37,My hero!,['admiration'],"The author considers someone their hero, therefore expressing admiration for them."
ed2jmoc__4,My hero!,['admiration'],"The author considers someone their hero, therefore expressing admiration for them."
ed2jmoc__61,My hero!,['admiration'],"The author considers someone their hero, therefore expressing admiration for them."
ed2jmoc__aggregate,My hero!,['admiration'],"The author considers someone their hero, therefore expressing admiration for them."
ed3e2yk__37,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed3e2yk__4,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed3e2yk__61,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed3e2yk__aggregate,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed433ik__37,This isn’t a “someone” this is a company.,['anger'],"The author is appaled at someone else for bestowing personhood to a company, causing them to be angry."
ed433ik__4,This isn’t a “someone” this is a company.,['anger'],"The author is appaled at someone else for bestowing personhood to a company, causing them to be angry."
ed433ik__61,This isn’t a “someone” this is a company.,['anger'],"The author is appaled at someone else for bestowing personhood to a company, causing them to be angry."
ed433ik__aggregate,This isn’t a “someone” this is a company.,['anger'],"The author is appaled at someone else for bestowing personhood to a company, causing them to be angry."
ed6gk3y__37,"Cheers, brother. What are you doing to meet women? ","['joy', 'surprise']","The author seems to be excited in response to someone else's comment, expressing joy. They are also curious, posing a question to that person, showing their surprise."
ed6gk3y__4,"Cheers, brother. What are you doing to meet women? ",['surprise'],"The author is posing a question to someone else, showing curioisity and, in turn, their surprise."
ed6gk3y__61,"Cheers, brother. What are you doing to meet women? ","['joy', 'surprise']","The author seems to be excited in response to someone else's comment, expressing joy. They are also curious, posing a question to that person, showing their surprise."
ed6gk3y__aggregate,"Cheers, brother. What are you doing to meet women? ","['joy', 'surprise']","The author seems to be excited in response to someone else's comment, expressing joy. They are also curious, posing a question to that person, showing their surprise."
ed71ia9__37,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is losing their patience with their basketball team committing unnecessary fouls, showing their anger."
ed71ia9__4,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is losing their patience with their basketball team committing unnecessary fouls, showing their anger."
ed71ia9__61,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is losing their patience with their basketball team committing unnecessary fouls, showing their anger."
ed71ia9__aggregate,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is losing their patience with their basketball team committing unnecessary fouls, showing their anger."
ed9pt91__37,KAT doesn't play defense lol,['joy'],"The author is poking fun at an athlete named KAT, showing their amusement. "
ed9pt91__4,KAT doesn't play defense lol,['joy'],"The author is poking fun at an athlete named KAT, showing their amusement."
ed9pt91__61,KAT doesn't play defense lol,['joy'],"The author is poking fun at an athlete named KAT, showing their amusement."
ed9pt91__aggregate,KAT doesn't play defense lol,['joy'],"The author is poking fun at an athlete named KAT, showing their amusement."
edbmttd__37,I think you misunderstood me. I wanted to say that it was beyond stupid 😊,"['admiration', 'sadness', 'anger']","The author is implicitly expressing their annoyance, and therefore anger, with another person not understanding their statement, shown both by the choice of emoji and the phrase ""beyond stupid"". They also hint at their disappointment for the same reason, and therefore sadness. Finally, they seem to have realized the other person did not pick up on their expression, which can be seen as admiration of one's self."
